property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,dlf the ultima,sector 81,2.3,10937.0,2103.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1617 sq.ft. (150.22 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,19.0,East,Relatively Old,2103.0,1617.0,1257.0,1,1,0,1,1,0,49,701.0
house,independent,sector 25,7.6,38756.0,1961.0,Plot area 215(179.77 sq.m.),2,9,3,4.0,East,Relatively Old,,1935.0,,1,0,1,1,0,2,84,980.5
flat,rof ananda,sector 95,0.32,5735.0,558.0,Carpet area: 549.16 (51.02 sq.m.),2,2,1,10.0,North,Relatively Old,,,549.174178,0,0,0,1,0,2,50,279.0
flat,rof aalayas,sector 102,0.45,6000.0,750.0,Built Up area: 750 (69.68 sq.m.),1,1,2,6.0,,Undefined,,750.0,,0,0,0,0,0,1,0,750.0
house,independent,sector 56,2.99,20635.0,1449.0,Plot area 161(134.62 sq.m.),4,4,2,2.0,South,Moderate Old,,1449.0,,1,1,0,1,0,2,49,362.25
flat,ats tourmaline,sector 109,1.5,6977.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3+,4.0,North-West,Relatively Old,2150.0,1797.0,1670.0,0,1,0,0,0,1,39,716.6666666666666
house,dlf south city 1,sector 41,2.65,18929.0,1400.0,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,4.0,North-East,New property,,1800.0,1400.0,0,1,0,0,0,2,22,466.6666666666667
house,bhim garh kheri,sector 3,1.5,7576.0,1980.0,Plot area 220(183.95 sq.m.),7,2,0,1.0,,Undefined,,1980.0,,0,0,0,0,0,1,0,282.85714285714283
flat,dlf the skycourt,sector 86,1.5,7895.0,1900.0,Super Built up area 1900(176.52 sq.m.),3,3,1,16.0,East,Relatively Old,1900.0,,,0,0,0,0,1,1,49,633.3333333333334
flat,central park resorts,sector 48,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,10.0,North-East,Moderate Old,3931.0,3831.0,3731.0,1,1,1,1,0,2,67,932.75
flat,ss the leaf,sector 83,1.19,7225.0,1647.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2,2,3,4.0,South-East,Relatively Old,1640.0,1630.0,1620.0,0,0,0,0,0,1,49,823.5
flat,signature global solera,sector 107,0.5,4762.0,1050.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,5.0,South,Relatively Old,1050.0,850.0,645.0,0,0,0,0,1,1,35,350.0
flat,hero homes,sector 104,1.4,15819.0,885.0,Super Built up area 1389(129.04 sq.m.)Carpet area: 884.58 sq.ft. (82.18 sq.m.),3,2,2,4.0,North,Under Construction,1389.0,,884.58,0,0,0,0,0,1,49,295.0
flat,godrej oasis,sector 88a,1.0,6897.0,1450.0,Carpet area: 1450 (134.71 sq.m.),2,2,3,7.0,,Relatively Old,,,1450.0,1,0,0,0,0,1,72,725.0
flat,eldeco accolade,sohna road,1.3,7424.0,1751.0,Super Built up area 1751(162.67 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),3,3,3+,10.0,East,Relatively Old,1751.0,,1290.0,0,0,0,0,0,1,49,583.6666666666666
flat,orris carnation residency,sector 85,0.9,6429.0,1400.0,Super Built up area 1485(137.96 sq.m.)Built Up area: 1402 sq.ft. (130.25 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12.0,,Relatively Old,1485.0,1402.0,1400.0,0,0,0,0,0,1,120,466.6666666666667
house,independent,sector 105,0.5,5556.0,900.0,Built Up area: 100 (9.29 sq.m.),2,2,0,1.0,,Undefined,,100.0,,0,0,0,0,0,1,0,450.0
flat,vatika gurgaon,sector 83,1.15,5808.0,1980.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1308 sq.ft. (121.52 sq.m.),3,3,2,3.0,South,Relatively Old,1980.0,1350.0,1308.0,1,1,1,1,0,2,165,660.0
flat,tulip violet,sector 69,1.36,8619.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,12.0,West,Relatively Old,1578.0,,,0,0,0,1,0,2,49,526.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,1200.0,Super Built up area 1368(127.09 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,0.0,North,Relatively Old,1368.0,,1200.0,0,0,0,0,0,1,80,600.0
house,independent,sector 55,2.8,18667.0,1500.0,Built Up area: 1500 (139.35 sq.m.),4,4,0,2.0,,Undefined,,1500.0,,0,0,0,0,0,1,0,375.0
house,unitech espace,sector 50,10.45,32253.0,3240.0,Plot area 360(301.01 sq.m.),5,7,3+,3.0,,Moderate Old,,3240.0,,1,1,0,1,1,2,153,648.0
flat,pivotal devaan,sector 84,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,1,1.0,East,Relatively Old,,,483.0,0,0,1,0,0,2,84,241.5
flat,pivotal devaan apartments,sector 84,0.39,6500.0,600.0,Super Built up area 600(55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2,2,0,5.0,North,Undefined,600.0,,500.0,0,0,0,0,0,1,0,300.0
house,independent,sector 4,1.1,11111.0,990.0,Built Up area: 990 (91.97 sq.m.),3,4,1,2.0,North,Undefined,,990.0,,0,0,0,0,0,1,0,330.0
flat,gls arawali homes,sohna road,0.35,6076.0,576.0,Super Built up area 576(53.51 sq.m.),2,2,2,12.0,,New property,576.0,,,0,0,0,0,0,1,42,288.0
flat,tarc maceo,sector 91,1.75,11118.0,1574.0,Super Built up area 2724(253.07 sq.m.)Carpet area: 1573.59 sq.ft. (146.19 sq.m.),4,3,3+,8.0,South,Relatively Old,2724.0,,1573.59,1,1,1,1,0,1,128,393.5
flat,vatika city,sector 49,2.1,10417.0,2016.0,Super Built up area 2015.58(187.25 sq.m.)Built Up area: 1604.25 sq.ft. (149.04 sq.m.),3,3,3,9.0,South,Moderate Old,2015.58,1604.25,,0,0,0,1,0,2,132,672.0
flat,central park resorts,sector 48,3.65,15240.0,2395.0,Super Built up area 1870(173.73 sq.m.)Built Up area: 1869 sq.ft. (173.64 sq.m.),3,3,3+,9.0,North-West,Relatively Old,1870.0,1869.0,,0,0,0,0,1,2,157,798.3333333333334
